,class_number,is_rong,is_new,is_active,online_dur,cust_age,sex,offer_type,month_charge,arpu,avg_flow,month_flow,flow_trend,trmnl_kind,thrmonth_avgarpu,arpu_trend,trmnl_month,is_contract,agr_exp_date,callll_dur,calling_dur,called_dur,roamcall_dur,call_dur_avg,calling_dur_avg,called_dur_avg,roamcall_dur_avg,thrmon_call_trend,thrmon_calling_trend,thrmon_called_trend,thrmon_roamcall_trend,calling_flow,is_zeroflow,is_highflow,is_flow_over,flow_rate,predict,target,prob
105,0,0,0,1,50,54,1,0,2894,1900,7.625010173,20.44027901,2.680688752,1,1900.0,1.0,158,0,23800,268.0,0.0,3.0,0.0,294.0,1.0,0.0,0.0,0.911564626,0.0,0.0,0.0,0.0,0,0,1,1.022265625,0,1,[9.99818799e-01 1.81201274e-04]
839,0,0,0,1,49,22,1,0,11305,9205,385.6535428,1117.973926,2.898907443,2,6577.333333,1.399503345,630,0,-25,6209.6,44.1,115.5,5947.5,7006.0,232.5,447.5,6223.5,0.8863260059999999,0.18967741899999999,0.258100559,0.9556519640000001,0.007101906999999999,0,1,0,0.873824941,0,0,[0.96276851 0.03723149]
954,0,0,0,1,34,74,1,0,3723,1140,0.102859497,0.308578491,3.0,0,1140.0,1.0,165,0,23800,186.6,22.6,42.0,0.0,215.2,36.2,0.0,0.0,0.867100372,0.624309392,0.0,0.0,0.121114684,1,0,0,0.016064453,0,0,[9.99833276e-01 1.66723875e-04]
950,0,2,0,1,44,45,1,0,4276,10526,33.014175099999996,74.12014961,2.24510076,1,10526.0,1.0,308,0,4,2412.2,12.3,11.9,2411.2,2779.1,42.9,99.2,2776.1,0.8679788420000001,0.286713287,0.11995967699999999,0.868556608,0.00509908,0,0,0,0.07242775,0,0,[0.96609102 0.03390898]
716,0,2,0,1,35,43,1,0,27627,9429,57.69201787,173.0760536,3.0,2,6971.666667,1.352474301,98,0,23800,556.0,4.0,13.0,551.0,611.0,33.0,39.0,0.0,0.909983633,0.12121212099999999,0.333333333,0.0,0.007194245,0,0,0,0.084472656,0,0,[0.81878446 0.18121554]
480,0,0,0,1,48,0,2,0,1520,4930,74.57737033,221.82152459999998,2.9743811510000002,2,4916.666667,1.0027118640000001,160,0,23800,3000.0,0.0,0.0,3000.0,3135.8,69.8,0.0,0.0,0.956693667,0.0,0.0,0.0,0.0,0,0,1,1.109355469,0,0,[9.99879479e-01 1.20521398e-04]
734,0,0,0,1,32,49,0,0,4894,7029,124.82083770000001,186.6645479,1.495459824,2,4850.0,1.449278351,119,0,23800,13733.5,77.6,88.9,13725.5,15155.1,243.8,238.3,14973.1,0.9061965940000001,0.318293683,0.37305916899999997,0.9166772409999999,0.005650417,0,0,1,9.337402344,0,0,[0.99594868 0.00405132]
805,0,0,0,1,37,25,1,0,2174,3704,111.09651219999999,25.05211163,0.225498633,2,4572.666667,0.810030617,112,0,23800,13097.5,7.7,4.8,13096.5,14666.5,7.7,0.0,14655.5,0.893021512,1.0,0.0,0.893623554,0.000587898,0,0,1,1.258203125,0,0,[0.99735506 0.00264494]
298,0,0,0,1,54,27,0,0,6958,3080,38.34996986,115.04990959999999,3.0,2,2293.333333,1.343023256,695,0,23800,13206.5,50.5,46.0,0.0,13314.5,95.5,109.0,0.0,0.991888543,0.528795812,0.42201834899999996,0.0,0.003823875,0,0,1,2.0,0,0,[9.99665684e-01 3.34315778e-04]
18,0,2,0,1,41,29,1,0,20195,9094,0.0,0.0,0.0,2,6287.0,1.446476857,526,0,23800,365.1,262.1,98.0,0.0,367.1,264.1,0.0,0.0,0.994551893,0.9924271109999999,0.0,0.0,0.717885511,1,0,0,0.0,0,1,[0.79504353 0.20495647]
